City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint-maximin-la-sainte-baume,43.4521,5.8622,33.03,69,3,4.92,FR,1675831158
83,saldanha,-33.0117,17.9442,62.65,86,0,8.81,ZA,1675831076
84,ilulissat,69.2167,-51.1,-16.58,76,75,5.75,GL,1675831159
85,coquimbo,-29.9533,-71.3436,64.13,88,100,5.75,CL,1675831159
86,berekum,7.4534,-2.584,71.58,89,59,3.31,GH,1675831160
87,atuona,-9.8,-139.0333,79.02,76,21,17.02,PF,1675831024
88,cidreira,-30.1811,-50.2056,74.88,82,6,13.8,BR,1675831161
89,sandpoint,48.2766,-116.5533,34.57,94,100,1.99,US,1675830986
90,dikson,73.5069,80.5464,-4.22,89,100,22.24,RU,1675831078
91,berlevag,70.8578,29.0864,33.33,64,20,29.93,NO,1675831101
92,nikolskoye,59.7035,30.7861,29.75,87,100,9.17,RU,1675831037
93,maceio,-9.6658,-35.7353,72.84,94,20,2.3,BR,1675831071
94,el tigre,8.8875,-64.2454,73.49,78,64,12.08,VE,1675831162
95,cape town,-33.9258,18.4232,68.94,76,20,11.99,ZA,1675831041
96,half moon bay,37.4636,-122.4286,49.51,77,0,4.61,US,1675831163
97,abha,18.2164,42.5053,46.65,87,0,0.0,SA,1675831164
98,laguna,38.421,-121.4238,47.91,79,0,0.0,US,1675831061
99,xining,36.6167,101.7667,34.14,58,95,3.04,CN,1675831164
100,avarua,-21.2078,-159.775,82.45,78,20,10.36,CK,1675831016
101,ust-nera,64.5667,143.2,-32.06,97,83,1.41,RU,1675831165
102,lata,40.1629,-8.3327,48.92,83,42,8.75,PT,1675831166
103,gogrial,8.5332,28.1004,68.83,23,1,6.64,SS,1675831099
104,mitsamiouli,-11.3847,43.2844,81.57,77,100,10.02,KM,1675831166
105,faya,18.3851,42.4509,46.92,44,17,3.15,SA,1675831167
106,rawson,-43.3002,-65.1023,64.58,58,1,4.76,AR,1675831065
107,barrow,71.2906,-156.7887,-2.18,78,100,6.91,US,1675831018
108,atambua,-9.1061,124.8925,81.61,73,60,5.66,ID,1675831168
109,upernavik,72.7868,-56.1549,-23.31,95,47,4.23,GL,1675831045
110,manta,-0.95,-80.7333,80.38,74,75,5.75,EC,1675831143
111,omboue,-1.5746,9.2618,76.98,89,100,4.99,GA,1675831169
112,mogadishu,2.0371,45.3438,76.87,88,75,8.05,SO,1675831169
113,chicama,-7.8447,-79.1469,70.34,76,60,3.96,PE,1675831169
114,bozeman,45.6796,-111.0386,31.68,71,75,8.05,US,1675831137
115,sinnamary,5.3833,-52.95,75.06,91,76,9.66,GF,1675831171
116,jatai,-17.8814,-51.7144,66.79,93,72,1.68,BR,1675831171
